Feature
AverageExhaleDuration
AveragePeakExpiratoryFlow
AveragePeakInspiratoryFlow
CoefficientOfVariationOfBreathVolumes
CoefficientOfVariationOfBreathingRate
CoefficientOfVariationOfExhaleDutyCycle
CoefficientOfVariationOfInhaleDutyCycle
CoefficientOfVariationOfInhalePauseDutyCycle
DutyCycleOfExhale
DutyCycleOfInhalePause
PercentOfBreathsWithInhalePause
stdLI1
